연번,시도,기관명,주소,전화번호,운영주체,법인유형
1,강원,강릉종합사회복지관,"강원도 강릉시 강변로 510, 관리사무소건물 2층",033-653-6375,월정사복지재단,사회복지법인
2,강원,명륜종합사회복지관,강원도 원주시 예술관길 25,033-762-8131,성불복지회,사회복지법인
3,강원,밥상공동체종합사회복지관,강원도 원주시 일산로 81-2,033-766-4933,밥상공동체복지재단,사회복지법인(직영)
4,강원,삼척시종합사회복지관,강원도 삼척시 원당로 2길 72-6,033-573-6168,원주가톨릭사회복지회,사회복지법인
5,강원,속초종합사회복지관,강원도 속초시 먹거리길19,033-631-8761,대한불교조계종신흥사복지재단,사회복지법인
6,강원,영월군종합사회복지관,강원도 영월군 영월읍 단종로 12,033-375-4600,원주가톨릭사회복지회,사회복지법인
7,강원,원주가톨릭종합사회복지관,강원도 원주시 봉산로 103,033-731-1121,원주가톨릭사회복지회,사회복지법인(직영)
8,강원,원주종합사회복지관,강원도 원주시 육판길 1,033-732-4006,원주종합사회복지재단,사회복지법인
9,강원,월드비전동해종합사회복지관,강원도 동해시 전천로 273-10,033-533-8247,월드비전,사회복지법인
10,강원,월드비전춘천종합사회복지관,강원도 춘천시 근화길 95,033-254-7244,월드비전,사회복지법인(직영)
11,강원,인제군사회복지관,강원도 인제군 비봉로44번길 100,033-461-0660,작은공,사회복지법인
12,강원,정선군종합사회복지관,강원도 정선군 정선읍 봉양7길 16,033-562-2922,원주가톨릭사회복지회,사회복지법인
13,강원,춘천종합사회복지관,강원도 춘천시 후석로228번길 47,033-242-0051,천주교춘천교구사회복지회,사회복지법인
14,강원,춘천효자종합사회복지관,강원도 춘천시 공지로 234-16,033-261-1790,기독교대한감리회 사회복지재단,사회복지법인
15,강원,홍천군종합사회복지관,강원도 홍천군 홍천읍 너브내길123,033-436-3004,대한불교천태종복지재단,재단법인
16,강원,횡성군종합사회복지관,"강원도 횡성군 횡성읍 횡성로 379, 횡성군종합보건복지타운 3층",033-345-3450,원주가톨릭사회복지회,사회복지법인
17,경기,(경기)상동종합사회복지관,경기도 부천시 석천로 16번길 50,032-652-0420,양지바른,사회복지법인
18,경기,갈매사회복지관,경기도 구리시 갈매순환로 143 LH1단지 101동 1층,031-571-1118,한양여자대학교 산학협력단,학교법인
19,경기,거모종합사회복지관,경기도 시흥시 군자로 466번길37 (거모동 1738-9),031-493-6347,삼우복지재단,사회복지법인(직영)
20,경기,고강종합사회복지관,경기도 부천시 고리울로 79 고강종합사회복지관,032-677-9090,행복복지재단,사회복지법인
21,경기,고산종합사회복지관,경기도 의정부시 정음로15 고산종합사회복지관,031-845-6900,나눔고용복지재단,사단법인
22,경기,고양시덕양행신종합사회복지관,경기도 고양시 덕양구 서정마을2로 13,031-839-6000,승가원,사회복지법인
23,경기,고양시문촌7종합사회복지관,경기도 고양시 일산서구 킨텍스로 340,031-916-4071,우림복지재단,사회복지법인
24,경기,고양시문촌9종합사회복지관,경기도 고양시 일산서구 주엽로 156,031-917-0202,고앤두,사회복지법인
25,경기,고양시원당종합사회복지관,경기도 고양시 덕양구 호국로716번길 13-11(성사동),031-966-4007,행복복지재단,사회복지법인
26,경기,고양시원흥종합사회복지관,경기도 고양시 덕양구 삼원로 102,031-964-9380,효샘,사회복지법인
27,경기,고양시일산종합사회복지관,경기도 고양시 일산서구 고양대로 654,031-975-3322,대건카리타스,사회복지법인
28,경기,고양시지축종합사회복지관,경기도 고양시 지축로163 LH8단지 802동 1층,02-381-8938,한벗재단,사회복지법인
29,경기,고양시향동종합사회복지관,경기도 고양시 덕양후 향기5로 55,02-6959-4436,한국재활복지회,사단법인
30,경기,고양시흰돌종합사회복지관,경기도 고양시 일산동구 장백로 61,031-905-3400,한국YMCA전국연맹유지재단,재단법인
31,경기,과천종합사회복지관,"경기도 과천시 별양상가 1로 10, 과천타워 3층",02-507-6319,대한불교조계종사회복지재단,사회복지법인
