id,name,difficulty
1,하루 5분 스트레칭 하기,쉬움
2,집안 정리하기 (한 공간씩),보통
3,간단한 요리 레시피 따라하기,보통
4,일일 물 섭취량 기록하기,쉬움
5,간단한 독서 시간 확보하기 (15분),쉬움
6,가벼운 집안 운동 시작하기,보통
7,매일 일기 쓰기,쉬움
8,가족과 함께하는 간단한 게임 하기,쉬움
9,집안 내 식물 돌보기,보통
10,음악 듣기 및 즐기기,쉬움
11,간단한 공예 활동 시작하기 (예: 종이접기),쉬움
12,온라인 요리 비디오 시청하기,보통
13,주간 식단 계획하기,보통
14,가족 사진 정리하기,보통
15,집안에서 할 수 있는 퍼즐 맞추기,보통
16,간단한 수제 간식 만들기,보통
17,일주일에 한 번 새로운 요리 시도하기,보통
18,집안 청소 루틴 만들기,보통
19,간단한 홈 트레이닝 시작하기,보통
20,가족과 함께하는 영화 보기,쉬움
21,집안에서 할 수 있는 손재주 활동 시작하기 (예: 뜨개질),보통
22,집안 내 가구 재배치하기,보통
23,매일 아침 산책 준비하기,보통
24,간단한 명상 시작하기,쉬움
25,집안에서 간단한 음악 연주하기,보통
26,가족과 함께하는 주간 계획 세우기,보통
27,간단한 요가 자세 배우기,보통
28,주간 건강 체크 기록하기,보통
29,집안 내 책 정리하기,보통
30,매일 가벼운 홈 트레이닝 하기,보통
31,가족과 함께하는 DIY 프로젝트 시작하기,보통
32,간단한 홈 가드닝 시작하기,보통
33,매일 일정 시간 읽기,쉬움
34,가족과 함께하는 저녁 산책 계획하기,보통
35,집안 내 편안한 휴식 공간 마련하기,보통
36,간단한 홈 브이로그 시작하기,어려움
37,가족과 함께하는 취미 찾기,보통
38,간단한 요리 재료 구매하기,보통
39,매일 새로운 레시피 시도하기,보통
40,집안 내 건강한 간식 준비하기,보통
41,매주 한 번 가족과 요리하기,보통
42,집안 내 간단한 운동 기구 사용하기,보통
43,간단한 그림 그리기 시작하기,보통
44,가족과 함께하는 주간 영화 밤 계획하기,보통
45,집안에서 할 수 있는 새로운 취미 찾기,보통
46,매일 간단한 요리 레시피 읽기,쉬움
47,가족과 함께하는 일상 이야기 나누기,쉬움
48,집안 내 건강 기록 업데이트하기,보통
49,간단한 홈 디코레이션 프로젝트 시작하기,보통
50,매일 가벼운 운동 후 스트레칭 하기,쉬움
51,가족 친구와 전화 통화하기,쉬움
52,가벼운 동네 산책하기,보통
53,주말에 가까운 카페 방문하기,보통
54,가족과 함께하는 정기적인 산책 계획하기,보통
55,가벼운 외출로 근처 도서관 방문하기,보통
56,지역 커뮤니티 센터 방문하기,보통
57,주변 친구와 만남 계획하기,보통
58,온라인 동호회 가입하기,보통
59,가벼운 동네 행사 참여하기,보통
60,주변 카페 방문하여 휴식하기,보통
61,지역 도서관 방문하기,보통
62,친구와 함께 산책하기,보통
63,주변 시장 방문하여 쇼핑하기,보통
64,지역 행사 정보 찾아보기,보통
65,가족과 함께 근처 영화관 방문하기,보통
66,주변 카페에서 책 읽기,쉬움
67,친구와 함께하는 영화 관람하기,보통
68,지역 봉사 활동 참여하기,보통
69,주변 박물관 방문하기,보통
70,가벼운 운동 클래스 참여하기,보통
71,주변 공원에서 피크닉하기,보통
72,지역 사회 행사에 참여하기,보통
73,친구와 함께하는 요가 클래스,보통
74,주변 동네 친구들과 만남 가지기,보통
75,가족과 함께하는 주말 외출 계획하기,보통
76,주변 시장 방문하여 새로운 음식 맛보기,보통
77,가벼운 자전거 타기 시작하기,어려움
78,주변 식당 방문하여 새로운 음식 시도하기,보통
79,친구와 함께하는 도보 여행 계획하기,보통
80,지역 축제 참여하기,보통
81,친구와 함께하는 공원 게임 즐기기,보통
82,지역 마을 행사 참여하기,보통
83,주변 공원에서의 가족 놀이 시간 가지기,보통
84,가벼운 외출로 근처 운동 시설 이용하기,보통
85,가족과 함께하는 주말 산책 루트 설정하기,보통
86,주변 카페에서 가족과 함께 시간 보내기,보통
87,가벼운 외출로 근처 도서관에서 독서하기,보통
88,가족과 함께하는 근처 박물관 탐방하기,보통
89,주변 공원에서 가족과 함께 운동하기,보통
90,가벼운 외출로 지역 공연장 방문하기,보통
91,가족과 함께하는 근처 도서관에서의 독서 시간 가지기,보통
92,주변 공원에서 가족과 함께 게임 하기,보통
93,가벼운 외출로 지역 문화 행사 참여하기,보통
94,가족과 함께하는 근처 미술관에서의 작품 감상하기,보통
95,주말에 가까운 공원에서 운동하기,보통
96,가벼운 외출로 지역 도서관에서의 독서 모임 참여하기,보통
97,가족과 함께하는 근처 박물관에서의 전시 관람하기,보통
98,주변 공원에서 가족과 함께 자전거 타기,어려움
99,가벼운 외출로 근처 카페에서의 음료 즐기기,쉬움
100,가족과 함께하는 근처 문화 행사 참여하기,보통
101,지역 공원에서 운동하기,보통
102,주변 지역 마을 축제 참여하기,보통
103,친구와 함께하는 공원에서 운동하기,보통
104,지역 봉사 활동 참여하여 사회에 기여하기,보통
105,주변 커뮤니티 센터에서 열리는 이벤트 참석하기,보통
106,친구와 함께하는 영화 관람 후 토론하기,보통
107,지역 도서관에서 열린 책 읽기 모임 참여하기,보통
