id,text,difficulty,type
1,좋아하는 음악 듣기,쉬움,효과지향 자기주도형
2,간단한 스트레칭,쉬움,효과지향 자기주도형
3,사진 앨범 정리하기,쉬움,효과지향 자기주도형
4,손편지 쓰기,쉬움,효과지향 자기주도형
5,차 마시기,쉬움,효과지향 자기주도형
6,꽃 관찰하기,쉬움,효과지향 자기주도형
7,실내 식물 돌보기,쉬움,효과지향 자기주도형
8,책 읽기,쉬움,효과지향 자기주도형
9,일기 쓰기,쉬움,효과지향 자기주도형
10,편안한 목욕하기,쉬움,효과지향 자기주도형
11,간단한 퍼즐 맞추기,쉬움,효과지향 자기주도형
12,감상적인 시 읽기,쉬움,효과지향 자기주도형
13,좋아하는 영화 보기,쉬움,효과지향 자기주도형
14,창작 글쓰기,쉬움,효과지향 자기주도형
15,감정 일기 쓰기,쉬움,효과지향 자기주도형
16,방 청소하기,쉬움,효과지향 자기주도형
17,가벼운 체조하기,쉬움,효과지향 자기주도형
18,좋아하는 향초 켜기,쉬움,효과지향 자기주도형
19,손 마사지하기,쉬움,효과지향 자기주도형
20,차 마시며 창밖 보기,쉬움,효과지향 자기주도형
21,가벼운 다리 스트레칭 하기,쉬움,효과지향 자기주도형
22,실내에서 간단히 춤추기,쉬움,효과지향 자기주도형
23,감상적인 영화 OST 듣기,쉬움,효과지향 자기주도형
24,가족 사진 정리하기,쉬움,효과지향 자기주도형
25,좋아하는 책의 일부분 다시 읽기,쉬움,효과지향 자기주도형
26,차 마시며 책 읽기,쉬움,효과지향 자기주도형
27,좋아하는 그림 감상하기,쉬움,효과지향 자기주도형
28,간단한 요리 도와주기,쉬움,효과지향 자기주도형
29,친구와 커피 약속하기,쉬움,효과지향 자기주도형
30,실내 식물 돌보기,쉬움,효과지향 자기주도형
31,좋아하는 음식 먹기,쉬움,효과지향 자기주도형
32,간단한 바느질 하기,쉬움,효과지향 자기주도형
33,좋아하는 향기 맡기,쉬움,효과지향 자기주도형
34,차 마시며 음악 감상하기,쉬움,효과지향 자기주도형
35,간단한 색칠 공부 하기,쉬움,효과지향 자기주도형
36,좋아하는 노래 따라 부르기,쉬움,효과지향 자기주도형
37,차와 함께 편안한 시간 보내기,쉬움,효과지향 자기주도형
38,가벼운 아침 체조 하기,쉬움,효과지향 자기주도형
39,간단한 손쉽게 할 수 있는 공예,쉬움,효과지향 자기주도형
40,좋아하는 프로그램 다시 보기,쉬움,효과지향 자기주도형
41,집안 정리정돈하기,쉬움,효과지향 자기주도형
42,편안한 음악 연주하기,쉬움,효과지향 자기주도형
43,간단한 종이접기 하기,쉬움,효과지향 자기주도형
44,좋아하는 시 낭독하기,쉬움,효과지향 자기주도형
45,가족과 추억 이야기 나누기,쉬움,효과지향 자기주도형
46,좋아하는 향초 켜기,쉬움,효과지향 자기주도형
47,간단한 그림 그리기 도구 사용하기,쉬움,효과지향 자기주도형
48,차 마시며 감상하기,쉬움,효과지향 자기주도형
49,실내 자전거 타기,쉬움,효과지향 자기주도형
50,간단한 손놀림 게임하기,쉬움,효과지향 자기주도형
51,좋아하는 음식 주문하기,쉬움,효과지향 자기주도형
52,차분한 색의 방 꾸미기,쉬움,효과지향 자기주도형
53,간단한 마사지 받기,쉬움,효과지향 자기주도형
54,좋아하는 꽃 꽂기,쉬움,효과지향 자기주도형
55,손 마사지하기,쉬움,효과지향 자기주도형
56,간단한 종이 공예 하기,쉬움,효과지향 자기주도형
57,차 마시며 명상하기,쉬움,효과지향 자기주도형
58,좋아하는 영화 OST 듣기,쉬움,효과지향 자기주도형
59,좋아하는 그림 감상하기,쉬움,효과지향 자기주도형
60,간단한 요리 재료 준비하기,쉬움,효과지향 자기주도형
61,차와 함께 창밖 산책하기,쉬움,효과지향 자기주도형
62,간단한 옷 정리하기,쉬움,효과지향 자기주도형
63,가벼운 다리 운동하기,쉬움,효과지향 자기주도형
64,좋아하는 책 표지 다시 보기,쉬움,효과지향 자기주도형
65,감상적인 시 읽기,쉬움,효과지향 자기주도형
66,가족 사진 정리하기,쉬움,효과지향 자기주도형
67,실내 식물 돌보기,쉬움,효과지향 자기주도형
